0,1,2,3
"[('V6', 'V17', {'weight': -1}), ('V6', 'V3', {'weight': -1}), ('V17', 'V3', {'weight': -1}), ('V17', 'V6', {'weight': -1})]",120U,"{'V6', 'V3', 'V17'}",0.0
"[('V8', 'V12', {'weight': 1}), ('V8', 'V17', {'weight': -1}), ('V12', 'V17', {'weight': -1}), ('V12', 'V8', {'weight': 1})]",120U,"{'V8', 'V12', 'V17'}",1.0
"[('V8', 'V14', {'weight': -1}), ('V8', 'V17', {'weight': -1}), ('V14', 'V17', {'weight': 1}), ('V17', 'V14', {'weight': 1})]",120D,"{'V8', 'V14', 'V17'}",1.0
"[('V16', 'V11', {'weight': 1}), ('V16', 'V4', {'weight': 1}), ('V11', 'V16', {'weight': 1}), ('V11', 'V4', {'weight': 1})]",120U,"{'V16', 'V11', 'V4'}",1.0
"[('V16', 'V11', {'weight': 1}), ('V16', 'V3', {'weight': -1}), ('V11', 'V16', {'weight': 1}), ('V11', 'V3', {'weight': -1}), ('V3', 'V11', {'weight': -1}), ('V3', 'V16', {'weight': -1})]",300,"{'V16', 'V3', 'V11'}",1.0
"[('V14', 'V2', {'weight': 1}), ('V14', 'V3', {'weight': -1}), ('V2', 'V3', {'weight': 1})]",030T,"{'V14', 'V3', 'V2'}",0.0
"[('V6', 'V3', {'weight': -1}), ('V14', 'V3', {'weight': -1}), ('V14', 'V6', {'weight': -1})]",030T,"{'V6', 'V14', 'V3'}",0.0
"[('V6', 'V12', {'weight': -1}), ('V9', 'V12', {'weight': 1}), ('V9', 'V6', {'weight': -1})]",030T,"{'V6', 'V9', 'V12'}",1.0
"[('V9', 'V6', {'weight': -1}), ('V14', 'V6', {'weight': -1}), ('V14', 'V9', {'weight': -1})]",030T,"{'V6', 'V9', 'V14'}",0.0
"[('V16', 'V11', {'weight': 1}), ('V16', 'V2', {'weight': 1}), ('V11', 'V16', {'weight': 1}), ('V11', 'V2', {'weight': 1})]",120U,"{'V16', 'V11', 'V2'}",1.0
"[('V16', 'V14', {'weight': -1}), ('V16', 'V2', {'weight': 1}), ('V14', 'V2', {'weight': 1})]",030T,"{'V16', 'V14', 'V2'}",0.0
"[('V8', 'V12', {'weight': 1}), ('V8', 'V2', {'weight': 1}), ('V12', 'V2', {'weight': 1}), ('V12', 'V8', {'weight': 1}), ('V2', 'V12', {'weight': 1}), ('V2', 'V8', {'weight': 1})]",300,"{'V8', 'V12', 'V2'}",1.0
"[('V6', 'V12', {'weight': -1}), ('V6', 'V8', {'weight': 1}), ('V8', 'V12', {'weight': 1}), ('V12', 'V8', {'weight': 1})]",120D,"{'V6', 'V8', 'V12'}",0.0
