0,1,2,3
"[('V6', 'V12', {'weight': -1}), ('V6', 'V17', {'weight': -1}), ('V12', 'V17', {'weight': -1})]",X,"('V17', 'V12', 'V6')",0
"[('V8', 'V12', {'weight': 1}), ('V8', 'V17', {'weight': -1}), ('V12', 'V17', {'weight': -1})]",X,"('V17', 'V12', 'V8')",1
"[('V6', 'V17', {'weight': -1}), ('V6', 'V3', {'weight': -1}), ('V3', 'V17', {'weight': -1})]",X,"('V17', 'V3', 'V6')",0
"[('V14', 'V17', {'weight': 1}), ('V14', 'V3', {'weight': -1}), ('V3', 'V17', {'weight': -1})]",X,"('V17', 'V3', 'V14')",1
"[('V6', 'V17', {'weight': -1}), ('V6', 'V8', {'weight': 1}), ('V8', 'V17', {'weight': -1})]",X,"('V17', 'V6', 'V8')",1
"[('V6', 'V14', {'weight': -1}), ('V6', 'V17', {'weight': -1}), ('V14', 'V17', {'weight': 1})]",X,"('V17', 'V6', 'V14')",1
"[('V8', 'V14', {'weight': -1}), ('V8', 'V17', {'weight': -1}), ('V14', 'V17', {'weight': 1})]",X,"('V17', 'V8', 'V14')",1
"[('V16', 'V11', {'weight': 1}), ('V16', 'V4', {'weight': 1}), ('V11', 'V4', {'weight': 1})]",X,"('V4', 'V11', 'V16')",1
"[('V6', 'V12', {'weight': -1}), ('V6', 'V5', {'weight': -1}), ('V5', 'V12', {'weight': 1})]",X,"('V5', 'V12', 'V6')",1
"[('V6', 'V3', {'weight': -1}), ('V6', 'V5', {'weight': -1}), ('V5', 'V3', {'weight': 1})]",X,"('V5', 'V3', 'V6')",1
"[('V9', 'V14', {'weight': -1}), ('V9', 'V7', {'weight': 1}), ('V14', 'V7', {'weight': 1})]",X,"('V7', 'V9', 'V14')",0
"[('V14', 'V2', {'weight': 1}), ('V14', 'V7', {'weight': 1}), ('V2', 'V7', {'weight': -1})]",X,"('V7', 'V2', 'V14')",0
"[('V16', 'V11', {'weight': 1}), ('V16', 'V3', {'weight': -1}), ('V3', 'V11', {'weight': -1})]",X,"('V11', 'V3', 'V16')",1
"[('V3', 'V11', {'weight': -1}), ('V3', 'V2', {'weight': 1}), ('V11', 'V2', {'weight': 1})]",X,"('V11', 'V3', 'V2')",0
"[('V16', 'V11', {'weight': 1}), ('V16', 'V2', {'weight': 1}), ('V11', 'V2', {'weight': 1})]",X,"('V11', 'V16', 'V2')",1
"[('V6', 'V12', {'weight': -1}), ('V6', 'V9', {'weight': -1}), ('V9', 'V12', {'weight': 1})]",X,"('V12', 'V9', 'V6')",1
