0,1,2,3
"[('V2', 'V15', {'weight': -1}), ('V2', 'V4', {'weight': -1}), ('V15', 'V4', {'weight': -1})]",X,"('V2', 'V15', 'V4')",0
"[('V20', 'V12', {'weight': 1}), ('V20', 'V6', {'weight': -1}), ('V12', 'V6', {'weight': -1})]",X,"('V20', 'V6', 'V12')",1
"[('V9', 'V20', {'weight': -1}), ('V9', 'V6', {'weight': 1}), ('V20', 'V6', {'weight': -1})]",X,"('V20', 'V6', 'V9')",1
"[('V14', 'V12', {'weight': 1}), ('V14', 'V20', {'weight': 1}), ('V20', 'V12', {'weight': 1})]",X,"('V20', 'V12', 'V14')",1
"[('V15', 'V12', {'weight': -1}), ('V15', 'V20', {'weight': -1}), ('V20', 'V12', {'weight': 1})]",X,"('V20', 'V12', 'V15')",1
"[('V16', 'V12', {'weight': -1}), ('V16', 'V20', {'weight': -1}), ('V20', 'V12', {'weight': 1})]",X,"('V20', 'V12', 'V16')",1
"[('V5', 'V12', {'weight': -1}), ('V5', 'V20', {'weight': -1}), ('V20', 'V12', {'weight': 1})]",X,"('V20', 'V12', 'V5')",1
"[('V9', 'V12', {'weight': -1}), ('V9', 'V20', {'weight': -1}), ('V20', 'V12', {'weight': 1})]",X,"('V20', 'V12', 'V9')",1
"[('V14', 'V19', {'weight': -1}), ('V14', 'V20', {'weight': 1}), ('V20', 'V19', {'weight': -1})]",X,"('V20', 'V14', 'V19')",1
"[('V14', 'V16', {'weight': 1}), ('V14', 'V20', {'weight': 1}), ('V16', 'V20', {'weight': -1})]",X,"('V20', 'V14', 'V16')",0
"[('V14', 'V20', {'weight': 1}), ('V14', 'V5', {'weight': 1}), ('V20', 'V5', {'weight': -1})]",X,"('V20', 'V14', 'V5')",0
"[('V5', 'V19', {'weight': -1}), ('V5', 'V20', {'weight': -1}), ('V20', 'V19', {'weight': -1})]",X,"('V20', 'V19', 'V5')",0
"[('V5', 'V16', {'weight': 1}), ('V5', 'V20', {'weight': -1}), ('V16', 'V20', {'weight': -1})]",X,"('V20', 'V16', 'V5')",1
"[('V4', 'V12', {'weight': -1}), ('V4', 'V6', {'weight': -1}), ('V12', 'V6', {'weight': -1})]",X,"('V6', 'V12', 'V4')",0
"[('V9', 'V12', {'weight': -1}), ('V9', 'V6', {'weight': 1}), ('V12', 'V6', {'weight': -1})]",X,"('V6', 'V12', 'V9')",1
"[('V14', 'V12', {'weight': 1}), ('V14', 'V16', {'weight': 1}), ('V16', 'V12', {'weight': -1})]",X,"('V12', 'V14', 'V16')",0
"[('V14', 'V12', {'weight': 1}), ('V14', 'V3', {'weight': -1}), ('V12', 'V3', {'weight': -1})]",X,"('V12', 'V14', 'V3')",1
"[('V14', 'V12', {'weight': 1}), ('V14', 'V5', {'weight': 1}), ('V12', 'V5', {'weight': -1})]",X,"('V12', 'V14', 'V5')",0
"[('V15', 'V12', {'weight': -1}), ('V15', 'V3', {'weight': -1}), ('V12', 'V3', {'weight': -1})]",X,"('V12', 'V15', 'V3')",0
"[('V15', 'V12', {'weight': -1}), ('V15', 'V4', {'weight': -1}), ('V4', 'V12', {'weight': -1})]",X,"('V12', 'V15', 'V4')",0
"[('V5', 'V12', {'weight': -1}), ('V5', 'V16', {'weight': 1}), ('V16', 'V12', {'weight': -1})]",X,"('V12', 'V16', 'V5')",1
"[('V4', 'V12', {'weight': -1}), ('V4', 'V3', {'weight': -1}), ('V12', 'V3', {'weight': -1})]",X,"('V12', 'V3', 'V4')",0
"[('V5', 'V12', {'weight': -1}), ('V5', 'V4', {'weight': 1}), ('V4', 'V12', {'weight': -1})]",X,"('V12', 'V4', 'V5')",1
"[('V14', 'V19', {'weight': -1}), ('V14', 'V3', {'weight': -1}), ('V3', 'V19', {'weight': 1})]",X,"('V14', 'V19', 'V3')",1
